comment,question,id
Peaceful protest is a freedom of expression,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,0
The use of force against civilians during peaceful protests is terrifying - that's not the country I want to live in,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,1
"We do not need to utilize our military when there are peaceful protests. If anything, they can utilize police officers",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,2
It's the peoples right to protest,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,3
Peaceful protest is a right and military force would not be used.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,4
Force should not be used if the protest is peaceful,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,5
"If a protest is peaceful, there should be no reason for the military to get involved.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,6
If there is no violence on the side of protestor then there should be no violence from the military. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,7
The military is not allowed to operate on domestic soil. No exceptions. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,8
Peaceful protests pose no risk to the public and the use of military force is never acceptable in this case.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,9
We should be able to peacefully protest,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,10
Peaceful protests are important for a fully functioning democracy.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,11
"Peaceful Protests are a right of the Citizens. If it turns unpeaceful , remove those causing the Chaos, not everyone",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,12
"Military oversight may be needed to ensure it stays peaceful, but not military intervention until needed.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,13
i think as long as its peaceful they should not intervene,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,14
"If a protest is peaceful force shouldn’t need to be used, but if there are extremists some security would good but not too much. ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,15
People should be allowed to protest peacefully. Crowds can be managed but not harmed,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,16
Police presence can escalate a peaceful protest in some instances. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,17
As long as the protest remains peaceful then there is no need for the military to be involved.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,18
Military force should be present just in case something happens during a peaceful protest. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,19
I believe peaceful protests are essential to a democratic society.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,20
i think republican are more sociable than then the democrats ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,21
I only support military action if there's violence.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,22
Everyone has a right to feel safe during a peaceful protest,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,23
A peace prtest shouls be allowed you may not agree with it but it’s america we have the first amendment.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,24
Peaceful protests should never be met with military force.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,25
The military should not be used in cases of peaceful protest. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,26
"So far is a peaceful protest, involvement of military isn't necessary.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,27
"if someone is in a peaceful protest, there is no need to use military force against innocent protestors ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,28
"Peaceful protests are a constitutional right, and the government should only intervene in the most extreme situations. ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,29
No reason to call military to deal with peaceful protest,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,30
"Protests are part of our freedom as Americans, as long as they do not involve violence or destruction of property.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,31
As Americans we should be allowed to voice oir opinions in a respectful way and we should be treated with respect back. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,32
People should be free to peacefully protest,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,33
No peaceful protests require the use of military; they’re not hurting or destroying anything and it is our right to protest. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,34
There should be no need if the protest is peaceful. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,35
There is no reason to use the military to quell a peaceful protest.  It one of our rights.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,36
